STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010426 0000,20010426 0000,1476303,,AF,132,398
BER,D,20010427 0000,20010427 0000,1475556,,AF,213,443
BER,D,20010428 0000,20010428 0000,1474436,,AF,19,443
BER,D,20010429 0000,20010429 0000,1473316,,AF,-43,430
BER,D,20010430 0000,20010430 0000,1472383,,AF,126,486
BER,D,20010501 0000,20010501 0000,1471823,,AF,362,525
BER,D,20010502 0000,20010502 0000,1469770,,AF,-307,544
BER,D,20010503 0000,20010503 0000,1468283,,AF,42,529
BER,D,20010504 0000,20010504 0000,1467540,,AF,333,504
BER,D,20010505 0000,20010505 0000,1466426,,AF,97,521
BER,D,20010506 0000,20010506 0000,1465498,,AF,197,540
BER,D,20010507 0000,20010507 0000,1464198,,AF,55,559
BER,D,20010508 0000,20010508 0000,1463084,,AF,143,567
BER,D,20010509 0000,20010509 0000,1461970,,AF,183,574
BER,D,20010510 0000,20010510 0000,1460484,,AF,26,598
BER,D,20010511 0000,20010511 0000,1459370,,AF,210,614
BER,D,20010512 0000,20010512 0000,1457885,,AF,48,620
BER,D,20010513 0000,20010513 0000,1456399,,AF,15,626
BER,D,20010514 0000,20010514 0000,1454542,,AF,-189,609
BER,D,20010515 0000,20010515 0000,1453614,,AF,256,580
BER,D,20010516 0000,20010516 0000,1451942,,AF,-137,568
BER,D,20010517 0000,20010517 0000,1450829,,AF,189,612
BER,D,20010518 0000,20010518 0000,1449352,,AF,17,611
BER,D,20010519 0000,20010519 0000,1448058,,AF,104,605
BER,D,20010520 0000,20010520 0000,1446581,,AF,67,609
BER,D,20010521 0000,20010521 0000,1444918,,AF,-39,590
BER,D,20010522 0000,20010522 0000,1443810,,AF,258,608
BER,D,20010523 0000,20010523 0000,1442147,,AF,-2,653
BER,D,20010524 0000,20010524 0000,1440485,,AF,30,659
BER,D,20010525 0000,20010525 0000,1439007,,AF,90,626
BER,D,20010526 0000,20010526 0000,1437529,,AF,30,592
BER,D,20010527 0000,20010527 0000,1435682,,AF,-170,585
BER,D,20010528 0000,20010528 0000,1434020,,AF,-103,585
BER,D,20010529 0000,20010529 0000,1432542,,AF,-37,558
BER,D,20010530 0000,20010530 0000,1431256,,AF,53,545
BER,D,20010531 0000,20010531 0000,1429970,,AF,132,572
